total_env_steps,mean,std,ci95,num_seeds
4096,-30.734682492381115,0.23059108727051192,0.26093837956438276,3
8192,-30.688245543750014,0.24042600473079104,0.27206763636095654,3
12288,-30.632817746628263,0.14754170657729357,0.16695915825783056,3
16384,-30.4523059042192,0.15056311332594965,0.17037820185717972,3
20480,-30.31530241386473,0.13776450563509413,0.1558952138498667,3
24576,-30.029270782698237,0.1702574002289605,0.19266438547328374,3
28672,-29.734856955725267,0.14369886489759387,0.1626105735285042,3
32768,-29.37084874780517,0.22483727114264085,0.25442732367540655,3
36864,-29.072076399162512,0.22548214236938544,0.2551570641650597,3
40960,-28.774407543385692,0.29154456515350646,0.3299137330174127,3
45056,-28.516964277155562,0.23192295258192872,0.26244552704468155,3
49152,-28.2036214545323,0.23681938562559302,0.2679863626389055,3
53248,-27.97743794475547,0.24581192952531544,0.2781623840156659,3
57344,-27.75200519219256,0.302043885629793,0.3417948326038654,3
61440,-27.50129762093364,0.2909200504367895,0.3292070280873862,3
65536,-27.24255442059786,0.3571813976257244,0.40418880109472793,3
69632,-27.04158600058148,0.37529469312979674,0.4246859245236953,3
73728,-26.805373833678814,0.3473499872634274,0.3930635129531237,3
77824,-26.6033405831493,0.29347218131425556,0.3320950360476462,3
81920,-26.375237698109686,0.262095158719502,0.29658859246240427,3
86016,-26.221231967110914,0.23749673621107528,0.26875285698291884,3
90112,-26.047263105041683,0.20849109037375124,0.23592987881581082,3
94208,-25.884686262514105,0.1947368203690858,0.22036545709599803,3
98304,-25.71206791522073,0.1870930298292192,0.21171569382538868,3
102400,-25.59271823587369,0.26742022157927425,0.30261446835446504,3
106496,-25.398984144714813,0.30818574571496304,0.3487450015679213,3
110592,-25.196723576426265,0.36471635986677253,0.4127154135520054,3
114688,-24.957227700736016,0.41886861072350084,0.4739944541063436,3
118784,-24.71442817117018,0.520385795663864,0.5888719632496194,3
122880,-24.45616395395342,0.5392426106605547,0.6102104581898401,3
126976,-24.1862603937011,0.5500139076738714,0.6223993282009533,3
131072,-23.961789529046275,0.5963243605660518,0.6748045389903973,3
135168,-23.742630605372018,0.5814745720683148,0.6580004213927054,3
139264,-23.524764262504174,0.5204209043183121,0.5889116924321685,3
143360,-23.34654770225768,0.43986806151354446,0.49775756969661694,3
147456,-23.128809625846714,0.44511210908917004,0.5036917681643011,3
151552,-22.91928997859128,0.4386604020457914,0.4963909743597755,3
155648,-22.80890094103015,0.42533121377182415,0.4813075779011894,3
159744,-22.71639993362004,0.40724006498724774,0.46083551584456883,3
163840,-22.57887434632924,0.3478934407093437,0.39367848841997566,3
167936,-22.484243990206792,0.20028366443013645,0.22664230204312696,3
172032,-22.33776651085743,0.18038325009708012,0.20412286328166365,3
176128,-22.062837679947208,0.2827941039381358,0.32001165398648657,3
180224,-21.853888028309182,0.2863108633247605,0.32399124186443073,3
184320,-21.656386123932304,0.3019337817040399,0.34167023828276755,3
188416,-21.4231566747245,0.3455013346326281,0.39097156556882473,3
192512,-21.171710346544852,0.34804824433091847,0.39385366520864756,3
196608,-20.93578382719342,0.259955882468257,0.2941677734921308,3
