total_env_steps,mean,std,ci95,num_seeds
4096,-30.734682492381115,0.23059108727051192,0.26093837956438276,3
8192,-30.734343699985384,0.20950918820195474,0.23708196496395315,3
12288,-30.682097633300064,0.12800681698807265,0.14485334968249497,3
16384,-30.51589711086285,0.12413738294866938,0.14047467286534346,3
20480,-30.423209489012198,0.1338536550702202,0.15146966982214163,3
24576,-30.210321266247547,0.1551219969283199,0.17553706430024368,3
28672,-29.941894182371524,0.2655102433967161,0.3004531245754863,3
32768,-29.62158394531183,0.2681738552767301,0.3034672851659342,3
36864,-29.375986016978686,0.29621398204533544,0.3351976756523466,3
40960,-29.084895807918112,0.35454308427094355,0.40120326848057286,3
45056,-28.82017544290477,0.3636918104705433,0.41155602676737185,3
49152,-28.548395628146068,0.3477555343610816,0.3935224326960831,3
53248,-28.387196231456205,0.3257587496612849,0.36863072754332477,3
57344,-28.18584512292907,0.278259589072439,0.31488036736491193,3
61440,-27.984355178488098,0.18278154528217358,0.20683678976825504,3
65536,-27.766719145689038,0.1101735296250133,0.12467308529368237,3
69632,-27.59707985175916,0.08833854890595529,0.09996447858172146,3
73728,-27.36538163448452,0.07182666470848374,0.08127952264069473,3
77824,-27.147422233909168,0.09306473500753885,0.10531266162498094,3
81920,-26.887105370662486,0.11807423117961326,0.13361357074557934,3
86016,-26.680085590509687,0.21911200371040265,0.24794857367676335,3
90112,-26.432621808523166,0.26093085016204964,0.29527105329863707,3
94208,-26.153284820998323,0.3287708212709332,0.3720392074384366,3
98304,-25.973879871155617,0.36424129464207966,0.4121778266427017,3
102400,-25.825452292704984,0.3486010248240604,0.3944791952230234,3
106496,-25.676986607834692,0.30382141943286933,0.34380630145847696,3
110592,-25.504950270898537,0.24690161534988925,0.27939547960779954,3
114688,-25.33701474543797,0.1820443477965358,0.20600257228136845,3
118784,-25.119579176279785,0.10540216722144417,0.11927378045220265,3
122880,-24.921876097347575,0.15137253660937683,0.17129415052830677,3
126976,-24.684546635427296,0.17098246921310425,0.19348487826870958,3
131072,-24.531726152036487,0.17255769474484822,0.1952674137628916,3
135168,-24.338752482963745,0.2027016107861285,0.22937846592298242,3
139264,-24.146969710855085,0.21470468899224412,0.2429612275724562,3
143360,-23.947534625078628,0.20966904138384737,0.23726285586804233,3
147456,-23.789588319218307,0.2966024427928502,0.33563726036995517,3
151552,-23.56317270929937,0.34071442335523955,0.38555466552023393,3
155648,-23.419987923175615,0.37013484866158197,0.4188470108420025,3
159744,-23.239701629663788,0.3889960402605837,0.4401904583739672,3
163840,-23.041930079708262,0.432458757928944,0.4893731533952266,3
167936,-22.828718450116284,0.4417717533905391,0.4999117998511854,3
172032,-22.614223691769592,0.5006009303986009,0.5664832805675303,3
176128,-22.342438178151113,0.5641266418259515,0.6383693902898954,3
180224,-22.038943770254935,0.5875174649211535,0.6648385983906356,3
184320,-21.711726730123747,0.6388638953412898,0.7229425542236202,3
188416,-21.34845459355799,0.694326220241219,0.7857040831168991,3
192512,-20.904421636989547,0.7410285188141661,0.8385527090365149,3
196608,-20.53303325725136,0.7973855348631813,0.9023266762742961,3
200704,-20.074619872101966,0.9659130318004306,1.0930334918905427,3
204800,-19.619980533259675,1.0316119208465722,1.1673787835919909,3
