total_env_steps,mean,std,ci95,num_seeds
4096,-30.882317191513085,0.30149934412533647,0.3411786258828669,3
8192,-30.67205538171146,0.19247648537140535,0.21780764725803375,3
12288,-30.53125721173089,0.13516209413223196,0.1529503080056962,3
16384,-30.334110135386087,0.12364982226657831,0.1399229460148824,3
20480,-30.135536284247138,0.09017792660763622,0.10204593039568695,3
24576,-29.74286318764732,0.12252120654604406,0.13864579709836072,3
28672,-29.353401856902853,0.12392351108815734,0.1402326540719156,3
32768,-28.98124031319048,0.1765898101180382,0.19983018183927675,3
36864,-28.614856968451722,0.19783295957419073,0.22386906843088916,3
40960,-28.258250492957725,0.1887924191937405,0.21363873392323485,3
45056,-27.91382999010833,0.15543985391977547,0.1758967533466218,3
49152,-27.596484244912464,0.1377668768339685,0.15589789711399124,3
53248,-27.25265757527431,0.10528450538144452,0.11914063354600826,3
57344,-26.962760934723693,0.08313249166189304,0.09407327022122061,3
61440,-26.672800271893664,0.08186818636799408,0.09264257409775055,3
65536,-26.367166509431666,0.10657547128313584,0.12060149898728623,3
69632,-26.09070801346067,0.12031049639538036,0.1361441430612123,3
73728,-25.80284691918118,0.1345619576656528,0.15227118966265743,3
77824,-25.60730810912193,0.11661585379122853,0.13196326137316192,3
81920,-25.423129388162025,0.12331482452809793,0.13954386038728286,3
86016,-25.30993139707002,0.14583882451870903,0.1650321658045835,3
90112,-25.168510711718213,0.18645602310780773,0.21099485286130698,3
94208,-25.04500464351541,0.22296575785129694,0.2523095070184098,3
98304,-24.88083233068266,0.30659371700737476,0.3469434514902693,3
102400,-24.68936195519612,0.36611899998840625,0.41430265026953617,3
106496,-24.499767579287212,0.45761722462536936,0.5178426385336022,3
110592,-24.30653232979222,0.5051825372631135,0.5716678568023632,3
114688,-24.01728117696037,0.5107967062505605,0.5780208870756732,3
118784,-23.65700553139209,0.6035583285126225,0.6829905443392703,3
122880,-23.313671061256752,0.7120750580353506,0.8057887838222592,3
126976,-22.876390096493083,0.8018729542659699,0.907404669362623,3
131072,-22.389905271605993,0.8859247764271889,1.0025182599779132,3
135168,-21.96490534130298,1.0563166326689013,1.1953347967529036,3
139264,-21.49392811795281,1.0740641840718108,1.2154180417695597,3
143360,-21.03890002325011,1.1764685932453158,1.331299539646514,3
147456,-20.602255993334925,1.1826180824222439,1.3382583417406029,3
151552,-20.182739370523237,1.2695185701578664,1.436595500914871,3
155648,-19.680559424169488,1.3048849141406405,1.4766162866235377,3
159744,-19.120635704653367,1.4273630178331078,1.6152133082514324,3
163840,-18.48683945197807,1.4866266916185111,1.6822764683572433,3
167936,-17.755155751994035,1.582777492623584,1.791081342409674,3
172032,-16.94313585773761,1.612607016331739,1.8248366261533693,3
176128,-16.112909210448972,1.5928599478141914,1.8024907145177174,3
180224,-15.260972049381714,1.528810888932387,1.7300123813996837,3
184320,-14.401890780925905,1.4581825785714615,1.6500889243610777,3
188416,-13.586442304820721,1.3882461008560334,1.5709483496601313,3
192512,-12.78145621174644,1.2829479763452056,1.4517923046184127,3
196608,-12.054354579163606,1.2130116887527231,1.3726519450618329,3
200704,-11.402413979743933,1.159282233816396,1.311851343130868,3
204800,-10.744659693877558,1.0943042200781137,1.2383217986333872,3
208896,-10.206970986407613,1.0264138257845703,1.1614965852886838,3
212992,-9.8141883820499,1.0855645268559577,1.228431904733872,3
217088,-9.422683867828965,1.1185110817718478,1.2657144413390096,3
221184,-9.057141678341823,1.1122761749279184,1.2586589800553685,3
225280,-8.80717642767876,1.1336198410163338,1.282811611924183,3
229376,-8.533681710482298,1.1212586052417166,1.2688235568322794,3
233472,-8.217983633576756,1.0100212510714597,1.1429466407389657,3
237568,-7.968858932882597,0.8967186223696401,1.0147326465044257,3
241664,-7.755327233064771,0.7859067027831893,0.889337154963219,3
245760,-7.512045712734358,0.6719630318179339,0.7603977531189,3
249856,-7.297788742081077,0.6211022982399863,0.7028434150029765,3
253952,-7.134655235730052,0.646572824311251,0.7316660285669228,3
258048,-7.004166556490053,0.7205197689301908,0.8153448737946536,3
262144,-6.9057026351168815,0.7613656520375662,0.8615663417450228,3
266240,-6.870615068937451,0.7900770709045454,0.8940563707518892,3
270336,-6.85798745307099,0.8158078152783469,0.9231734490455901,3
274432,-6.834722014709887,0.8223297866926499,0.930553754470912,3
278528,-6.817633033308465,0.843654165310721,0.9546845605123839,3
282624,-6.8158148039622,0.8623847008993889,0.9758801568501831,3
286720,-6.796342659357137,0.8687465015731992,0.9830792120200312,3
290816,-6.7645269826773236,0.8719270901016155,0.9866783867604338,3
294912,-6.737649683470441,0.8722865820860676,0.9870851902366639,3
299008,-6.711042338520798,0.8621218106801204,0.9755826685620136,3
303104,-6.677288339355044,0.857065052558685,0.969860408063244,3
307200,-6.642439173585657,0.831291077651462,0.9406944098157312,3
311296,-6.608519233866933,0.7908704137272254,0.8949541226686677,3
315392,-6.5835192344160545,0.7651861739414679,0.8658896692703613,3
319488,-6.562726659629319,0.7505305475860465,0.8493052668203288,3
323584,-6.555589706593804,0.7439930315882273,0.8419073710428308,3
327680,-6.558915057113052,0.7359129958004855,0.8327639498020863,3
331776,-6.556147041292363,0.7395544888398601,0.8368846870956951,3
335872,-6.547479665952223,0.7333854488411046,0.8299037611640059,3
339968,-6.532896917468531,0.7195423041500728,0.8142387682689616,3
344064,-6.5158509483393905,0.7010723827320497,0.7933380846278522,3
348160,-6.493319198509556,0.6847974264733593,0.7749212378889236,3
352256,-6.47725810879836,0.6666555790080126,0.7543918048742022,3
356352,-6.46200309260801,0.6494315803476983,0.734901015558616,3
360448,-6.447973171045171,0.6323407030645836,0.7155608672624334,3
364544,-6.430780346416934,0.6112442472245262,0.6916879801243531,3
368640,-6.410874432335692,0.5974470900737308,0.676075027030029,3
372736,-6.397284625780827,0.5717625846673139,0.6470102730536507,3
376832,-6.394719026093713,0.5317076474248562,0.6016838446070099,3
380928,-6.381216097364409,0.4944186413927639,0.5594873619729434,3
385024,-6.358987430771001,0.45329910258953804,0.5129562234508317,3
389120,-6.334801002651164,0.430779923165717,0.48747337301837756,3
393216,-6.3184798860287925,0.4137456944530771,0.4681973286143241,3
397312,-6.302742075645772,0.4301563011076911,0.48676767822675276,3
401408,-6.295073957128373,0.4281805173163523,0.48453186839132445,3
405504,-6.293414337482513,0.446194153422736,0.5049162165953295,3
409600,-6.311152141113048,0.4500392532301809,0.5092673566367525,3
413696,-6.324272890679715,0.45585259402469197,0.5158457710270524,3
417792,-6.329093570843622,0.4382729856083861,0.4959525713903037,3
421888,-6.335387910032078,0.4371618617553234,0.4946952163851929,3
425984,-6.328591440536969,0.43759970124519165,0.495190678409974,3
430080,-6.317969070147744,0.43648577443393016,0.49393015155906883,3
434176,-6.316135998387331,0.436524443790592,0.49397391005548597,3
438272,-6.3185491278976045,0.4403057359409478,0.49825284493563526,3
442368,-6.316452896611175,0.440816736524556,0.4988310965316597,3
446464,-6.350968456498561,0.44787265143720645,0.5068156159050875,3
450560,-6.379242043042571,0.46225471966854303,0.5230904581962244,3
454656,-6.391749977181294,0.4823192220507159,0.5457955800651709,3
458752,-6.403332995971532,0.5094145303370269,0.576456807789611,3
462848,-6.402447934988032,0.5290600190305883,0.5986877710333663,3
466944,-6.383388310411603,0.5285872389917644,0.5981527700553086,3
471040,-6.359757821097016,0.5128422137914141,0.5803355967611821,3
475136,-6.341380943989496,0.5033659949005009,0.5696122456071477,3
479232,-6.315645559879697,0.49020589674546794,0.5547201926309021,3
483328,-6.296306801879311,0.4823904861249164,0.5458762229567204,3
487424,-6.277172406486831,0.47206581036764006,0.5341927524743126,3
491520,-6.258935417034986,0.4664029448819695,0.527784616925741,3
495616,-6.246358455296202,0.4430970019381691,0.5014114597583914,3
499712,-6.24383363083938,0.432822946900179,0.4897852720123603,3
503808,-6.246504881909641,0.42143375797016186,0.47689719147495035,3
507904,-6.245866264998376,0.4069634306025108,0.46052247456903866,3
512000,-6.249488991342204,0.40562216431824266,0.4590046888864954,3
516096,-6.247727254860656,0.4122721818081955,0.4665298920868578,3
520192,-6.240679964001232,0.4117872667002654,0.46598115898538656,3
524288,-6.244943177611206,0.4173545264491586,0.4722811064581438,3
528384,-6.247384806402927,0.4262947414667302,0.48239791213027966,3
532480,-6.256058698528986,0.4346068341302825,0.49180393044646853,3
536576,-6.253019603638979,0.4447132779342602,0.5032404482259901,3
540672,-6.247990919824129,0.44570484518898557,0.5043625122040034,3
544768,-6.236894408951443,0.44495754954439926,0.5035168675745337,3
548864,-6.225115785092588,0.4394980468964055,0.4973388587405508,3
552960,-6.197712656230135,0.422587315352939,0.47820256453927557,3
557056,-6.184429668541525,0.4120802734292732,0.46631272731256596,3
561152,-6.180082796766705,0.40539025728591016,0.4587422613749089,3
565248,-6.170584583937772,0.395052661638324,0.44704417066029045,3
569344,-6.1668717989724415,0.390559697805862,0.44195990345915337,3
573440,-6.172044971441106,0.39469232392551773,0.4466364101523342,3
577536,-6.175360741209804,0.39173122819792744,0.44328561489811,3
581632,-6.1730164212729965,0.39180092411358985,0.4433644832512215,3
585728,-6.172878152649528,0.392719208405125,0.44440361974972586,3
589824,-6.171970319282784,0.3932081671763519,0.4449569286869792,3
593920,-6.170873135805574,0.39504203450945774,0.44703214493189564,3
598016,-6.176073427955463,0.40082909101994585,0.4535808158548215,3
602112,-6.176398091389982,0.4049022022076852,0.4581899750625555,3
606208,-6.178818956732358,0.40987972946295775,0.4638225773959869,3
610304,-6.177255674507791,0.41375361471917266,0.4682062912391383,3
614400,-6.179554955678962,0.41036481677800096,0.46437150536815147,3
618496,-6.172251942319771,0.40779072961262797,0.4614586515291739,3
622592,-6.175882854962002,0.41005769890761584,0.46402396878127744,3
626688,-6.17479169461085,0.4108306567573019,0.46489865292955085,3
630784,-6.178547090649677,0.41067846410716,0.46472643073319575,3
634880,-6.177475965911058,0.4153125231662048,0.4699703622137488,3
638976,-6.174590771425534,0.41598963813522805,0.4707365899326391,3
643072,-6.168375710270148,0.4123185664455284,0.46658238124524454,3
647168,-6.1661178582577305,0.40976985460587295,0.46369824229048934,3
651264,-6.1629582968309355,0.4063240156642628,0.4597989084510648,3
655360,-6.160833352773611,0.4012002293204182,0.4540007983782828,3
659456,-6.163987355538495,0.3978751701452482,0.4502381397109653,3
663552,-6.170441130360367,0.40266558140473935,0.4556590003621499,3
667648,-6.178840144534047,0.4070453687969207,0.46061519636469367,3
671744,-6.187753329856325,0.4166190413313907,0.4714488266979165,3
675840,-6.188149150645816,0.4173610935896022,0.47228853787713754,3
679936,-6.188183020475246,0.41936009436516214,0.47455062020346195,3
684032,-6.183652423327559,0.4146698767962558,0.4692431393865686,3
688128,-6.180576186666489,0.41283801298198086,0.4671701903366395,3
692224,-6.1780750218927984,0.4076930894602908,0.46134816129543227,3
696320,-6.1816735427519305,0.41299022121593426,0.4673424301677374,3
700416,-6.186424077744007,0.4156997362384619,0.4704085350538916,3
704512,-6.189490193241724,0.41988476396353064,0.4751443397458151,3
708608,-6.189674786521709,0.4211645720045523,0.47659257887912515,3
712704,-6.191155357131367,0.42435994265333427,0.4802084811634255,3
716800,-6.191937998233533,0.42857249676810977,0.4849754348976229,3
720896,-6.193195427256996,0.43042286889528225,0.48706932807524195,3
724992,-6.197481746729873,0.431445236148476,0.48822624553257243,3
729088,-6.203447194391889,0.43404638349715347,0.49116972085161564,3
733184,-6.2003172834062,0.43477596965285287,0.4919953253078601,3
737280,-6.199894158074141,0.4259308548515277,0.481986135661206,3
741376,-6.217489178776991,0.41947357630991194,0.4746790371129069,3
745472,-6.228171132069772,0.42222798575888054,0.47779594482507504,3
749568,-6.229763831881591,0.41983159969107653,0.47508417870807035,3
