total_env_steps,mean,std,ci95,num_seeds
4096,-30.882317191513085,0.30149934412533647,0.3411786258828669,3
8192,-30.58511765012285,0.20515166584383457,0.23215096421929057,3
12288,-30.29050325692791,0.19454858759762012,0.22015245166309702,3
16384,-29.947154588566494,0.1884447562856755,0.21324531630706003,3
20480,-29.597825943848573,0.25323030818476194,0.28655706973099065,3
24576,-28.90206860632823,0.38445696872097807,0.4350540153904531,3
28672,-28.15031139287718,0.44379523614866345,0.5022015861487886,3
32768,-27.35395286922785,0.5634943528606478,0.6376538879694207,3
36864,-26.595704116236423,0.6234421315635629,0.7054911856654592,3
40960,-25.76476523789579,0.6715129247224616,0.7598884089915392,3
45056,-24.979793373887293,0.7002130992027745,0.7923657137770551,3
49152,-24.227495207647205,0.7233137573382574,0.8185065693152931,3
53248,-23.539942191369448,0.703769723989649,0.7963904136021477,3
57344,-22.86757723937973,0.6657445334137128,0.7533608597327406,3
61440,-22.286936486171083,0.6914435127981732,0.7824419925571536,3
65536,-21.731028553412013,0.7222327726773423,0.8172833200167534,3
69632,-21.25211199143185,0.7962250085583854,0.901013417132324,3
73728,-20.764113180784424,0.8265912296955541,0.9353760311900434,3
77824,-20.325067987787275,0.8829009505484485,0.9990964788751696,3
81920,-19.92683001718923,0.8540967028855325,0.9665014041968707,3
86016,-19.49858248124267,0.8951400869680429,1.0129463655399122,3
90112,-19.082648485624823,0.8507224945344409,0.9626831280012538,3
94208,-18.685848037621174,0.8420482010788762,0.9528672409045175,3
98304,-18.283000201434806,0.8701801542871642,0.9847015427894822,3
102400,-17.87547494319959,0.9395205317761387,1.0631675665830627,3
106496,-17.544722178867563,0.9353603513212537,1.0584598792242723,3
110592,-17.1867106831619,0.9718890016578003,1.0997959383899527,3
114688,-16.82264875175088,0.915924700293555,1.0364663696529461,3
118784,-16.476691956857593,0.9251737147836817,1.0469326148239484,3
122880,-16.206260326522834,0.9496895439036638,1.0746748870859324,3
126976,-15.900228895254372,1.0171267180807109,1.1509872335883637,3
131072,-15.680090150387684,1.0550196613750382,1.1938671355706434,3
135168,-15.44919783986191,1.1852190929493938,1.3412016622315124,3
139264,-15.183350673899985,1.1971288360825385,1.3546788053031573,3
143360,-14.866088719657313,1.2242769004508889,1.3853997321544043,3
147456,-14.52512108317911,1.2755412038487628,1.4434107525129034,3
151552,-14.113716729371099,1.370076337872605,1.5503873272629272,3
155648,-13.722281543440891,1.4092437060222598,1.5947093767304457,3
159744,-13.297131169651315,1.526480618433523,1.7273754320920682,3
163840,-12.934061210891047,1.6190694340745388,1.832149540255275,3
167936,-12.641110282025728,1.9035583547045867,2.154079059873434,3
172032,-12.334806385749701,2.070490522933421,2.3429805911095523,3
176128,-12.013447152266336,2.3702121595675263,2.682147551591158,3
180224,-11.77475956403471,2.530093482138275,2.863070299855403,3
184320,-11.421067720160046,2.7300115660618425,3.089298908610929,3
188416,-10.960806417283644,2.755919537428191,3.118616538126265,3
192512,-10.555098218113942,2.8984262237107727,3.279878034551943,3
196608,-10.188709164578025,2.8947296832185754,3.2756950052013916,3
200704,-10.1615323430707,2.7307099267779025,3.0900891781558504,3
204800,-10.06059093754078,2.6449134269255037,2.9930012988766426,3
208896,-10.050676340472863,2.5642910542592547,2.9017684956959746,3
212992,-9.941228729337048,2.439735918774307,2.7608210913336526,3
217088,-9.741200236873746,2.285487405299236,2.5862724666108665,3
221184,-9.254754228923636,2.110152582428283,2.3878624365324606,3
225280,-8.960086235387983,2.0235605663947176,2.2898743459498236,3
229376,-8.789528704663496,1.8805545712111216,2.128047828312464,3
233472,-8.64406087565823,1.7484980657152687,1.9786118246797708,3
237568,-8.64127388908267,1.6939910356018508,1.9169313136027015,3
241664,-8.570820273224795,1.6484582846301346,1.8654061553829908,3
245760,-8.450413776738088,1.576549713939694,1.7840339473984634,3
249856,-8.228007817759417,1.5376512190747706,1.7400161566950472,3
253952,-8.353209961444028,1.9042153763955805,2.1548225499077454,3
258048,-8.409275034994822,2.1676236714176533,2.4528970959817826,3
262144,-8.423398035088788,2.366248466202177,2.6776622103054777,3
266240,-8.449602363276576,2.5067051373084497,2.8366038961759403,3
270336,-8.473067276967777,2.6681800347095477,3.019329944120447,3
274432,-8.220243448154717,2.4008020036286264,2.7167632188093216,3
278528,-7.966146221286852,2.1686967721719457,2.454111423800125,3
282624,-7.772525530120277,1.9527266350670298,2.2097182068830152,3
286720,-7.6296339478395545,1.801705140083008,2.0388212973494237,3
290816,-7.5402371634358545,1.6911592353114244,1.9137268299091623,3
294912,-7.4368653766217285,1.5840999412569183,1.7925778339155862,3
